age,gender,height_cm,weight_kg,games_type,total_olympics_attended,country_total_medals,country_first_participation,country_best_rank
23,Male,177.3,98.2,Winter,2,24,1932,48
18,Male,171.8,85.5,Winter,1,854,1896,2
24,Male,160.8,49.6,Winter,5,896,1896,2
42,Female,181.1,67.8,Winter,2,116,1908,25
15,Male,179.6,62.6,Summer,2,648,1896,4
36,Male,199.3,118.1,Winter,3,35,1952,40
16,Female,195.8,106.0,Winter,3,266,1948,5
34,Male,151.6,47.1,Summer,4,226,1900,8
30,Male,183.9,53.7,Summer,4,854,1896,2
34,Male,208.3,71.1,Summer,4,158,1900,20
29,Male,171.2,90.4,Winter,5,203,1896,12
19,Male,183.7,81.5,Winter,4,497,1912,3
34,Male,194.6,98.7,Summer,2,536,1896,5
36,Male,186.4,60.5,Summer,2,158,1900,20
28,Female,164.3,63.3,Summer,1,72,1924,35
27,Female,198.1,99.2,Winter,5,25,1956,45
38,Male,192.8,86.4,Winter,3,5,1948,62
28,Female,173.8,52.4,Winter,3,497,1912,3
18,Female,171.4,103.3,Winter,4,536,1896,5
42,Male,184.3,65.1,Summer,4,554,1896,4
34,Male,176.3,51.0,Summer,3,158,1900,20
23,Female,165.2,65.4,Winter,5,170,1900,18
15,Female,175.5,91.0,Summer,2,196,1896,18
33,Female,170.0,103.0,Winter,4,90,1904,30
24,Male,179.9,60.9,Winter,4,24,1932,48
27,Male,164.6,88.7,Winter,3,753,1900,4
29,Male,187.7,115.8,Summer,5,99,1908,22
39,Female,180.0,93.0,Summer,4,844,1896,3
15,Male,192.1,77.9,Summer,2,22,1948,45
17,Male,174.5,101.7,Winter,5,392,1900,2
37,Female,172.9,85.5,Winter,4,203,1896,12
34,Male,189.7,63.3,Winter,1,636,1932,1
34,Female,165.0,86.1,Summer,1,854,1896,2
21,Male,171.6,66.4,Winter,4,307,1924,8
20,Female,161.1,59.0,Winter,1,57,1956,30
38,Male,174.7,70.4,Summer,3,381,1900,6
25,Female,171.7,77.1,Summer,3,109,1956,20
36,Female,183.9,71.0,Summer,2,90,1904,30
19,Female,175.3,115.7,Summer,1,554,1896,4
16,Male,185.0,70.4,Summer,3,896,1896,2
30,Female,190.0,61.3,Summer,5,158,1900,20
38,Female,196.6,85.3,Winter,5,753,1900,4
21,Female,176.8,92.0,Summer,5,392,1900,2
30,Male,194.9,62.4,Summer,1,844,1896,3
18,Male,189.7,65.7,Summer,2,2638,1896,1
37,Female,177.9,93.4,Summer,2,260,1896,10
26,Female,183.7,112.9,Summer,1,896,1896,2
34,Male,185.4,94.7,Summer,4,21,1964,52
15,Female,172.2,43.6,Summer,4,381,1900,6
25,Female,179.2,67.4,Summer,1,196,1896,18
36,Male,175.0,136.1,Summer,4,260,1896,10
24,Male,191.3,76.6,Summer,2,35,1900,48
32,Female,159.5,113.8,Summer,1,5,1948,62
16,Male,196.6,97.6,Summer,3,158,1900,20
41,Female,185.0,76.0,Winter,2,30,1996,44
39,Female,168.0,89.2,Winter,2,77,1920,30
31,Male,174.4,71.5,Winter,2,636,1932,1
33,Female,174.0,98.5,Winter,5,90,1904,30
27,Female,179.0,81.7,Summer,4,12,1956,58
28,Female,171.0,68.6,Summer,5,648,1896,4
42,Female,169.2,91.5,Winter,2,152,1920,20
30,Female,185.5,97.3,Summer,5,2638,1896,1
27,Male,170.7,60.3,Summer,2,54,1964,35
31,Male,181.6,95.5,Summer,5,196,1896,18
24,Male,189.0,87.4,Winter,1,497,1912,3
17,Male,182.7,69.2,Winter,1,35,1900,48
15,Male,158.8,77.7,Winter,3,29,1912,50
21,Male,176.8,87.0,Winter,3,2638,1896,1
24,Male,178.9,84.1,Summer,3,536,1896,5
24,Female,187.2,102.3,Winter,3,24,1932,48
38,Female,183.5,58.9,Summer,1,260,1896,10
